month,voice,sms,data
"2017-03-05",28595242111,6038504,10096059128454600
"2017-04-05",48990992057,8913082,18134701743566600
"2017-05-05",53431653371,9493890,18639526423934900
"2017-06-05",61970755926,8923632,18571939820051300
"2017-07-05",67436972804,10072769,21836164719077600
"2017-08-05",72352852786,10904883,25571451392014700
"2017-09-05",75170903649,11162733,27184199326238200
"2017-10-05",88177790900,12558686,32889996307252900
"2017-11-05",81727295859,11937544,32459516129074377
"2017-12-05",80456096852,12917439,35284691958569700
"2018-01-05",77708696596,11782234,36209833807407000
"2018-02-05",67907836680,10886263,33164964852527500
