month,voice,sms,data
2021-12-11,19115494472,3355239,"76,704,209,313,318,145"
2022-01-11,20338185481,3493930,"81,621,173,099,787,198"
2022-02-11,18208928253,3466973,"76,856,059,498,745,246"
2022-03-11,20117788021,3451297,"84,356,917,450,577,075"
2022-04-11,18733295776,3095175,"85,247,233,201,489,313"
2022-05-11,19103669448,3624778,"85,491,220,613,036,107"
2022-06-11,18248030565,3245427,"81,652,548,841,370,906"
2022-07-11,17681384659,3184627,"86,804,702,734,727,153"
2022-08-11,13023710891,3839878,"89,859,915,521,082,313"
2022-09-11,16864194902,3593134,"91,053,204,030,964,560"
2022-10-11,16643599509,4008035,"102,041,026,768,489,482"
2022-11-11,15059003131,7360984,"95,132,249,648,469,778"
2022-12-11,15718440886,6850739,"96,831,268,794,880,566"
2023-01-11,15479067105,30671505,"100,542,278,142,043,059"
2023-02-11,13178512836,6199521,"88,538,197,200,024,258"
2023-03-11,16501260754,10102853,"101,961,290,889,906,334"
2023-04-11,15242007504,16780667,"101,170,117,674,950,282"
2023-05-11,14474672207,6130210,"103,903,256,408,134,744"
2023-06-11,15605875208,4068691,"98,188,567,552,488,024"
2023-07-11,15244325554,4077437,"103,831,040,287,291,630"
2023-08-11,15446523019,2189630,"108,057,263,439,388,762"
2023-09-11,14280016192,2168480,"102,956,329,972,814,678"
2023-10-11,14981952122,2265693,"105,025,046,369,589,703"
2023-11-11,15031164535,1900233,"96,389,283,873,950,793"
2023-12-11,15652851751,2546246,"101,348,880,177,396,553"
2024-01-11,15512224500,4025527,"101,688,248,376,231,729"
2024-02-11,14002475294,3423081,"95,120,251,566,718,991"
