month,voice,sms,data
"2017-03-05",120891847,26797,89138347599908
"2017-04-05",208460499,56107,201863306449800
"2017-05-05",233715304,59197,215158664323499
"2017-06-05",231483712,57585,210678662715374
"2017-07-05",226163354,56206,214998366860219
"2017-08-05",238777261,34745,211079658754485
"2017-09-05",233387935,33656,196212886311589
"2017-10-05",235347058,33144,208473983297096
"2017-11-05",237772698,43170,190824278239071
"2017-12-05",222114235,35853,190680873162621
"2018-01-05",246316040,93278,191106394967458
"2018-02-05",253403595,100971,194641204396524


