month,voice,sms,data
2018-03-05,293790732,108354,224603701039403
2018-04-05,259057220,94515,226205347714529
2018-05-05,276349995,142239,232234295928428
2018-06-04,260910168,129764,209662622690777
2018-07-04,248148484,125851,217612533018639
2018-08-04,254914362,80316,217078203088438
2018-09-04,239263125,187435,203204874248645
2018-10-04,239420673,115073,201433699511446
2018-11-04,237463364,101070,177370299306450
2018-12-04,226139098,59830,175691422365417
2019-01-04,230758161,46052,171272876930990
2019-02-04,212182814,43130,159201505778837
2019-03-04,237866195,43791,176626518704240
2019-04-02,215561353,38412,166000743666740
2019-05-04,237904574,45138,186966495796673
2019-06-04,242587293,51429,215708944957970
2019-07-03,258120121,67210,227443757724317
